,Wach,Rem,N1,N2,N3
dia,1.0,1.0,1.0,1.0,1.0
HRV_MedianNN,0.715,0.523,0.638,0.494,
HRV_MeanNN,0.705,0.51,0.639,0.505,
idp,0.68,0.635,0.624,0.718,0.525
HRV_SD2d,0.529,,,,
HRV_PSS,,0.213,,,
HRV_LFHF,,,0.427,,
HRV_SampEn,,,,0.319,0.314
HRV_C1a,,,,,0.201
HRV_VHF,,,,,0.184
