,Wach,Rem,N1,N2,N3
dia,1.0,1.0,1.0,1.0,1.0
HRV_PSS,0.38,,,,
HRV_IALS,0.342,,,,
HRV_SD2d,0.339,,,,
HRV_SDNNd,0.335,,,,
HRV_MedianNN,,0.4,0.504,0.381,
HRV_MeanNN,,0.384,0.526,0.395,
idp,,0.316,0.326,0.497,
HRV_C1a,,0.155,,,0.177
HRV_LFHF,,,0.267,,
HRV_SampEn,,,,0.261,0.235
HRV_C2d,,,,,0.17
HRV_VHF,,,,,0.138
